GO biological process complete,allexp_forGO.txt - REFLIST (12841),plasticdown.txt (4129),plasticdown.txt (expected),plasticdown.txt (over/under),plasticdown.txt (fold Enrichment),plasticdown.txt (raw P-value),plasticdown.txt (FDR),plasticup.txt (4158),plasticup.txt (expected),plasticup.txt (over/under),plasticup.txt (fold Enrichment),plasticup.txt (raw P-value),plasticup.txt (FDR),plastic8down.txt (2285),plastic8down.txt (expected),plastic8down.txt (over/under),plastic8down.txt (fold Enrichment),plastic8down.txt (raw P-value),plastic8down.txt (FDR),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR)
"jasmonic acid and ethylene-dependent systemic resistance, jasmonic acid mediated signaling pathway (GO:0009868)",2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
palisade mesophyll development (GO:1903866),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
pollen hydration (GO:0009859),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
determination of bilateral symmetry (GO:0009855),5,0,1.61,-, < 0.01,0.345,1,3,1.62,+,1.85,0.414,1,0,0.89,-, < 0.01,1,1,3,2.99,+,1,1,1
auxin catabolic process (GO:0009852),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
urate catabolic process (GO:0019628),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
urea metabolic process (GO:0019627),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
negative regulation of cytokinin dehydrogenase activity (GO:1903857),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of cytokinin dehydrogenase activity (GO:1903856),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
nucleotide transmembrane transport (GO:1901679),5,0,1.61,-, < 0.01,0.345,1,2,1.62,+,1.24,0.682,1,0,0.89,-, < 0.01,1,1,2,2.99,-,0.67,1,1
iron coordination entity transport (GO:1901678),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
positive regulation of systemic acquired resistance (GO:1901672),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
"negative regulation of short-day photoperiodism, flowering (GO:0048577)",2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
D-galacturonate metabolic process (GO:0046396),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
fruit ripening (GO:0009835),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
butyrate metabolic process (GO:0019605),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
establishment of anatomical structure orientation (GO:0048560),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
cellular response to peptide (GO:1901653),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
establishment of floral organ orientation (GO:0048559),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of cellular protein localization (GO:1903828),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
extracellular polysaccharide metabolic process (GO:0046379),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
"defense response to protozoan, incompatible interaction (GO:0009818)",1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
L-arabinose metabolic process (GO:0046373),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,0,0.6,-, < 0.01,1,1
ncRNA export from nucleus (GO:0097064),5,0,1.61,-, < 0.01,0.345,1,1,1.62,-,0.62,1,1,0,0.89,-, < 0.01,1,1,1,2.99,-,0.33,0.421,1
regulation of chromosome condensation (GO:0060623),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
galactose biosynthetic process (GO:0046369),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
cinnamic acid metabolic process (GO:0009803),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cinnamic acid biosynthetic process (GO:0009800),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
sporocyte differentiation (GO:0048533),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
response to copper ion starvation (GO:0120126),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
telomere tethering at nuclear periphery (GO:0034398),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
telomere localization (GO:0034397),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protein localization to cell surface (GO:0034394),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
positive regulation of viral process (GO:0048524),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,0,0.6,-, < 0.01,1,1
regulation of plasma membrane sterol distribution (GO:0097036),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
diacylglycerol catabolic process (GO:0046340),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
strigolactone biosynthetic process (GO:1901601),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
strigolactone metabolic process (GO:1901600),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
regulation of synapse structure or activity (GO:0050803),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"transposition, RNA-mediated (GO:0032197)",1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
transposition (GO:0032196),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
eukaryotic translation initiation factor 4F complex assembly (GO:0097010),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
protein-containing complex remodeling (GO:0034367),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
energy homeostasis (GO:0097009),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,1,0.18,+,5.62,0.279,1,0,0.6,-, < 0.01,1,1
regulation of phosphate transmembrane transport (GO:2000185),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
NAD salvage (GO:0034355),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
mRNA cleavage involved in gene silencing (GO:0098795),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
pre-mRNA cleavage required for polyadenylation (GO:0098789),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
mRNA cleavage involved in mRNA processing (GO:0098787),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
cell junction assembly (GO:0034329),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"positive regulation of DNA-templated transcription, initiation (GO:2000144)",6,0,1.93,-, < 0.01,0.347,1,5,1.94,+,2.57,0.152,1,0,1.07,-, < 0.01,0.6,1,5,3.59,+,1.39,0.757,1
"negative regulation of DNA-templated transcription, initiation (GO:2000143)",3,0,0.96,-, < 0.01,1,1,3,0.97,+,3.09,0.161,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
"regulation of DNA-templated transcription, initiation (GO:2000142)",9,0,2.89,-, < 0.01,0.125,1,8,2.91,+,2.75,0.044,0.974,0,1.6,-, < 0.01,0.372,1,8,5.38,+,1.49,0.456,1
positive regulation of ERAD pathway (GO:1904294),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of ERAD pathway (GO:1904293),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of ERAD pathway (GO:1904292),3,0,0.96,-, < 0.01,1,1,2,0.97,+,2.06,0.602,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899),4,0,1.29,-, < 0.01,0.578,1,4,1.3,+,3.09,0.106,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
meiosis II cell cycle phase (GO:0098765),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898),4,0,1.29,-, < 0.01,0.578,1,4,1.3,+,3.09,0.106,1,0,0.71,-, < 0.01,1,1,4,2.39,+,1.67,0.483,1
meiosis I cell cycle phase (GO:0098764),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
meiotic cell cycle phase (GO:0098762),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
protein K69-linked ufmylation (GO:1990592),3,0,0.96,-, < 0.01,1,1,2,0.97,+,2.06,0.602,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of transcription by RNA polymerase V (GO:1904281),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of histone H3-K27 methylation (GO:0061086),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
galactoglucomannan metabolic process (GO:0010392),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of protein refolding (GO:0061083),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
maintenance of seed dormancy by absisic acid (GO:0098755),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of transcription by RNA polymerase V (GO:1904279),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of sister chromatid cohesion (GO:0045876),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
centrosome duplication (GO:0051298),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of cysteine-type endopeptidase activity (GO:2000117),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
meiotic centromere clustering (GO:1990571),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of cysteine-type endopeptidase activity (GO:2000116),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
GDP-mannose transmembrane transport (GO:1990570),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cell dedifferentiation (GO:0043697),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
dedifferentiation (GO:0043696),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of TORC1 signaling (GO:1904263),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of response to nutrient levels (GO:0032109),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
guard cell fate commitment (GO:0010377),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
regulation of response to nutrient levels (GO:0032107),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
positive regulation of response to extracellular stimulus (GO:0032106),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
regulation of response to extracellular stimulus (GO:0032104),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
negative regulation of gibberellin biosynthetic process (GO:0010373),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
UDP-N-acetylglucosamine transmembrane transport (GO:1990569),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
macromolecule depalmitoylation (GO:0098734),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
protein polyufmylation (GO:1990564),3,0,0.96,-, < 0.01,1,1,2,0.97,+,2.06,0.602,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
positive regulation of DNA-dependent DNA replication (GO:2000105),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of ethylene biosynthetic process (GO:0010365),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
mitochondrial coenzyme A transmembrane transport (GO:1990559),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
symmetric cell division (GO:0098725),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
response to L-glutamate (GO:1902065),3,0,0.96,-, < 0.01,1,1,3,0.97,+,3.09,0.161,1,0,0.53,-, < 0.01,1,1,3,1.79,+,1.67,0.678,1
response to trehalose (GO:0010353),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
cellular response to magnesium starvation (GO:0010350),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
cell surface pattern recognition receptor signaling pathway (GO:0002752),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
L-glutamate import across plasma membrane (GO:0098712),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of meiotic nuclear division (GO:0045835),5,0,1.61,-, < 0.01,0.345,1,1,1.62,-,0.62,1,1,0,0.89,-, < 0.01,1,1,1,2.99,-,0.33,0.421,1
response to non-ionic osmotic stress (GO:0010335),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of cellular defense response (GO:0051245),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
positive regulation of protein import into chloroplast stroma (GO:1904216),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of protein import into chloroplast stroma (GO:1904215),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
negative regulation of seed dormancy process (GO:1902039),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
induction of programmed cell death (GO:0012502),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
nucleoside bisphosphate catabolic process (GO:0033869),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,1,0.36,+,2.81,0.388,1,0,1.2,-, < 0.01,0.532,1
raffinose family oligosaccharide biosynthetic process (GO:0010325),3,0,0.96,-, < 0.01,1,1,2,0.97,+,2.06,0.602,1,0,0.53,-, < 0.01,1,1,2,1.79,+,1.11,1,1
membrane invagination (GO:0010324),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
snRNA import into nucleus (GO:0061015),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
nitrate import (GO:1902025),4,0,1.29,-, < 0.01,0.578,1,2,1.3,+,1.54,0.639,1,0,0.71,-, < 0.01,1,1,2,2.39,-,0.84,1,1
detoxification of zinc ion (GO:0010312),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
mitotic DNA replication maintenance of fidelity (GO:1990505),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of endocytosis (GO:0045806),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
developmental vegetative growth (GO:0080186),7,0,2.25,-, < 0.01,0.206,1,4,2.27,+,1.76,0.48,1,0,1.25,-, < 0.01,0.604,1,4,4.19,-,0.96,1,1
histone H3-K4 trimethylation (GO:0080182),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
2-methylguanosine metabolic process (GO:0080180),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
mannitol metabolic process (GO:0019594),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
mannitol biosynthetic process (GO:0019593),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
lipopolysaccharide-mediated signaling pathway (GO:0031663),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
1-methylguanosine metabolic process (GO:0080179),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
5-carbamoylmethyl uridine residue modification (GO:0080178),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
cellular response to sucrose starvation (GO:0043617),3,0,0.96,-, < 0.01,1,1,2,0.97,+,2.06,0.602,1,1,0.53,+,1.87,0.481,1,2,1.79,+,1.11,1,1
male-female gamete recognition during double fertilization forming a zygote and endosperm (GO:0080173),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
positive regulation of toxin transport (GO:1902009),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
galacturonate metabolic process (GO:0019586),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
lytic vacuole organization (GO:0080171),3,0,0.96,-, < 0.01,1,1,1,0.97,+,1.03,1,1,0,0.53,-, < 0.01,1,1,1,1.79,-,0.56,1,1
regulation of toxin transport (GO:1902007),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of carbohydrate utilization (GO:0043610),2,0,0.64,-, < 0.01,1,1,0,0.65,-, < 0.01,1,1,0,0.36,-, < 0.01,1,1,0,1.2,-, < 0.01,0.532,1
negative regulation of proline biosynthetic process (GO:1902006),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of proline biosynthetic process (GO:1902005),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
cellular response to boron-containing substance deprivation (GO:0080169),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of nitric oxide metabolic process (GO:0080164),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
specification of symmetry (GO:0009799),5,0,1.61,-, < 0.01,0.345,1,3,1.62,+,1.85,0.414,1,0,0.89,-, < 0.01,1,1,3,2.99,+,1,1,1
arabinose biosynthetic process (GO:0019567),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of inorganic anion transmembrane transport (GO:1903795),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
sucrose induced translational repression (GO:0080149),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of salicylic acid biosynthetic process (GO:0080142),6,0,1.93,-, < 0.01,0.347,1,5,1.94,+,2.57,0.152,1,0,1.07,-, < 0.01,0.6,1,5,3.59,+,1.39,0.757,1
receptor internalization (GO:0031623),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
priming of cellular response to stress (GO:0080136),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
negative regulation of lipid localization (GO:1905953),1,0,0.32,-, < 0.01,1,1,0,0.32,-, < 0.01,1,1,0,0.18,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
arginine catabolic process to glutamate (GO:0019544),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
regulation of DNA double-strand break processing (GO:1903775),1,0,0.32,-, < 0.01,1,1,1,0.32,+,3.09,0.429,1,0,0.18,-, < 0.01,1,1,1,0.6,+,1.67,1,1
(-)-pinoresinol biosynthetic process (GO:1901599),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
(-)-pinoresinol metabolic process (GO:1901598),2,0,0.64,-, < 0.01,1,1,2,0.65,+,3.09,0.253,1,0,0.36,-, < 0.01,1,1,2,1.2,+,1.67,0.633,1
AMP transport (GO:0080121),2,0,0.64,-, < 0.01,1,1,1,0.65,+,1.54,0.569,1,0,0.36,-, < 0.01,1,1,1,1.2,-,0.84,1,1
