GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic8_ref_forGO.txt (4605),plastic8_ref_forGO.txt (expected),plastic8_ref_forGO.txt (over/under),plastic8_ref_forGO.txt (fold Enrichment),plastic8_ref_forGO.txt (raw P-value),plastic8_ref_forGO.txt (FDR),plastic32_ref_forGO.txt (7279),plastic32_ref_forGO.txt (expected),plastic32_ref_forGO.txt (over/under),plastic32_ref_forGO.txt (fold Enrichment),plastic32_ref_forGO.txt (raw P-value),plastic32_ref_forGO.txt (FDR),different_dir_832_genes_ref_forGO.txt (129),different_dir_832_genes_ref_forGO.txt (expected),different_dir_832_genes_ref_forGO.txt (over/under),different_dir_832_genes_ref_forGO.txt (fold Enrichment),different_dir_832_genes_ref_forGO.txt (raw P-value),different_dir_832_genes_ref_forGO.txt (FDR)
"regulation of vesicle targeting, to, from or within Golgi (GO:0048209)",3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
protein localization to Golgi apparatus (GO:0034067),6,2,3.59,-,0.56,0.718,1,3,2.15,+,1.39,0.706,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
cellular sodium ion homeostasis (GO:0006883),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
positive regulation of cell differentiation (GO:0045597),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
drug transmembrane transport (GO:0006855),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,1,0.03,+,33.18,0.0392,1
regulation of photomorphogenesis (GO:0010099),24,8,14.35,-,0.56,0.2,1,7,8.61,-,0.81,0.838,1,12,13.6,-,0.88,0.863,1,0,0.24,-, < 0.01,1,1
maintenance of floral meristem identity (GO:0010076),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
root meristem specification (GO:0010071),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
sodium ion transmembrane transport (GO:0035725),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
myo-inositol hexakisphosphate metabolic process (GO:0033517),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
negative regulation of sulfur amino acid metabolic process (GO:0031336),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
arachidonic acid secretion (GO:0050482),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
protein-tetrapyrrole linkage (GO:0017006),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,4,3.4,+,1.18,0.755,1,0,0.06,-, < 0.01,1,1
protein kinase C-activating G protein-coupled receptor signaling pathway (GO:0007205),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
nucleosome positioning (GO:0016584),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,2,5.1,-,0.39,0.347,1,0,0.09,-, < 0.01,1,1
mitotic DNA replication (GO:1902969),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,0,5.1,-, < 0.01,0.0312,1,0,0.09,-, < 0.01,1,1
icosanoid transport (GO:0071715),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
fusion of sperm to egg plasma membrane involved in double fertilization forming a zygote and endosperm (GO:0061936),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
stress response to cadmium ion (GO:1990170),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
peroxisome localization (GO:0060151),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
ribonucleoprotein complex disassembly (GO:0032988),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
rRNA transcription (GO:0009303),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
collagen metabolic process (GO:0032963),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
positive regulation of response to oxidative stress (GO:1902884),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
ceramide metabolic process (GO:0006672),18,6,10.76,-,0.56,0.291,1,7,6.46,+,1.08,0.823,1,12,10.2,+,1.18,0.705,1,0,0.18,-, < 0.01,1,1
sphingosine metabolic process (GO:0006670),6,2,3.59,-,0.56,0.718,1,3,2.15,+,1.39,0.706,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
diacylglycerol biosynthetic process (GO:0006651),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
protein processing involved in protein targeting to mitochondrion (GO:0006627),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
DNA repair complex assembly (GO:0090735),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
NLS-bearing protein import into nucleus (GO:0006607),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
response to cation stress (GO:0043157),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
regulation of SNARE complex assembly (GO:0035542),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
NAD transport (GO:0043132),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
meiotic cell cycle checkpoint (GO:0033313),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
response to humidity (GO:0009270),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
positive regulation of microtubule polymerization or depolymerization (GO:0031112),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
sterol transport (GO:0015918),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
plasma membrane organization (GO:0007009),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
ubiquinone-6 biosynthetic process (GO:1901006),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
ubiquinone-6 metabolic process (GO:1901004),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,3,1.7,+,1.76,0.674,1,0,0.03,-, < 0.01,1,1
positive regulation of response to salt stress (GO:1901002),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,4,3.4,+,1.18,0.755,1,1,0.06,+,16.59,0.0676,1
inositol phosphate catabolic process (GO:0071545),9,3,5.38,-,0.56,0.553,1,3,3.23,-,0.93,1,1,4,5.1,-,0.78,0.78,1,0,0.09,-, < 0.01,1,1
cadmium ion homeostasis (GO:0055073),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
glycine biosynthetic process (GO:0006545),9,3,5.38,-,0.56,0.553,1,3,3.23,-,0.93,1,1,5,5.1,-,0.98,1,1,1,0.09,+,11.06,0.0952,1
translation reinitiation (GO:0002188),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
glutamate biosynthetic process (GO:0006537),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
amino acid import (GO:0043090),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
C-terminal protein lipidation (GO:0006501),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
tRNA wobble adenosine to inosine editing (GO:0002100),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
chromatin remodeling at centromere (GO:0031055),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
nuclear migration along microfilament (GO:0031022),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
nucleoside catabolic process (GO:0009164),6,2,3.59,-,0.56,0.718,1,4,2.15,+,1.86,0.304,1,5,3.4,+,1.47,0.541,1,2,0.06,+,33.18,0.00264,1
deoxyribonucleoside monophosphate metabolic process (GO:0009162),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
long-chain fatty acid metabolic process (GO:0001676),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,6,5.1,+,1.18,0.791,1,0,0.09,-, < 0.01,1,1
L-amino acid transport (GO:0015807),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,0,3.4,-, < 0.01,0.0935,1,0,0.06,-, < 0.01,1,1
regulation of establishment or maintenance of cell polarity regulating cell shape (GO:2000769),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
cellular response to UV-C (GO:0071494),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
cellular response to far red light (GO:0071490),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
cellular response to ionizing radiation (GO:0071479),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
secondary alcohol metabolic process (GO:1902652),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
phenylalanyl-tRNA aminoacylation (GO:0006432),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of glucose metabolic process (GO:0010906),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
tRNA export from nucleus (GO:0006409),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of cellular response to phosphate starvation (GO:0140255),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
fatty-acyl-CoA metabolic process (GO:0035337),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
cysteine catabolic process (GO:0009093),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
endonucleolytic cleavage involved in tRNA processing (GO:1905267),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
inositol phosphate dephosphorylation (GO:0046855),9,3,5.38,-,0.56,0.553,1,3,3.23,-,0.93,1,1,4,5.1,-,0.78,0.78,1,0,0.09,-, < 0.01,1,1
microtubule bundle formation (GO:0001578),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of protein export from nucleus (GO:0046825),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of chromatin assembly (GO:0010847),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,1,3.4,-,0.29,0.434,1,0,0.06,-, < 0.01,1,1
positive regulation of RNA interference (GO:1900370),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
transcription by RNA polymerase I (GO:0006360),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,2,3.4,-,0.59,0.719,1,0,0.06,-, < 0.01,1,1
molybdenum incorporation into molybdenum-molybdopterin complex (GO:0018315),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of transcription by RNA polymerase I (GO:0006356),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
mRNA cleavage involved in gene silencing by miRNA (GO:0035279),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
protein localization to nuclear envelope (GO:0090435),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
plasma membrane fusion (GO:0045026),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
quaternary ammonium group transport (GO:0015697),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
microtubule polymerization (GO:0046785),12,4,7.18,-,0.56,0.44,1,1,4.3,-,0.23,0.206,1,3,6.8,-,0.44,0.283,1,0,0.12,-, < 0.01,1,1
GDP-L-fucose biosynthetic process (GO:0042350),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
"nucleotide-excision repair, DNA gap filling (GO:0006297)",3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
"nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)",3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
stabilization of membrane potential (GO:0030322),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
cellular monovalent inorganic anion homeostasis (GO:0030320),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
pyrimidine dimer repair (GO:0006290),9,3,5.38,-,0.56,0.553,1,2,3.23,-,0.62,0.739,1,4,5.1,-,0.78,0.78,1,1,0.09,+,11.06,0.0952,1
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972),6,2,3.59,-,0.56,0.718,1,3,2.15,+,1.39,0.706,1,1,3.4,-,0.29,0.434,1,0,0.06,-, < 0.01,1,1
DNA strand elongation involved in DNA replication (GO:0006271),12,4,7.18,-,0.56,0.44,1,2,4.3,-,0.46,0.38,1,1,6.8,-,0.15,0.0403,1,0,0.12,-, < 0.01,1,1
negative regulation of stomatal opening (GO:1902457),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
peptidyl-arginine methylation (GO:0018216),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,1,3.4,-,0.29,0.434,1,0,0.06,-, < 0.01,1,1
double-strand break repair involved in meiotic recombination (GO:1990918),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
nucleic acid phosphodiester bond hydrolysis (GO:0090305),63,21,37.67,-,0.56,0.0177,1,18,22.59,-,0.8,0.449,1,19,35.71,-,0.53,0.0151,1,0,0.63,-, < 0.01,1,1
response to arsenic-containing substance (GO:0046685),9,3,5.38,-,0.56,0.553,1,2,3.23,-,0.62,0.739,1,7,5.1,+,1.37,0.605,1,0,0.09,-, < 0.01,1,1
mature ribosome assembly (GO:0042256),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
nucleobase-containing small molecule catabolic process (GO:0034656),6,2,3.59,-,0.56,0.718,1,4,2.15,+,1.86,0.304,1,5,3.4,+,1.47,0.541,1,2,0.06,+,33.18,0.00264,1
endocytic recycling (GO:0032456),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,1,3.4,-,0.29,0.434,1,0,0.06,-, < 0.01,1,1
positive regulation of ion transmembrane transporter activity (GO:0032414),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
positive regulation of transporter activity (GO:0032411),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
DNA strand elongation (GO:0022616),12,4,7.18,-,0.56,0.44,1,2,4.3,-,0.46,0.38,1,1,6.8,-,0.15,0.0403,1,0,0.12,-, < 0.01,1,1
positive regulation of histone H3-K4 methylation (GO:0051571),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
response to strigolactone (GO:1902347),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
programmed cell death involved in cell development (GO:0010623),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
regulation of symbiotic process (GO:0043903),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
isocitrate metabolic process (GO:0006102),6,2,3.59,-,0.56,0.718,1,2,2.15,-,0.93,1,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
citrate metabolic process (GO:0006101),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
negative regulation of chromatin silencing (GO:0031936),12,4,7.18,-,0.56,0.44,1,2,4.3,-,0.46,0.38,1,4,6.8,-,0.59,0.442,1,0,0.12,-, < 0.01,1,1
regulation of triglyceride metabolic process (GO:0090207),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
positive regulation of protein depolymerization (GO:1901881),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
negative regulation of protein depolymerization (GO:1901880),6,2,3.59,-,0.56,0.718,1,0,2.15,-, < 0.01,0.351,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
regulation of protein depolymerization (GO:1901879),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,5,5.1,-,0.98,1,1,0,0.09,-, < 0.01,1,1
root hair cell tip growth (GO:0048768),12,4,7.18,-,0.56,0.44,1,1,4.3,-,0.23,0.206,1,6,6.8,-,0.88,1,1,0,0.12,-, < 0.01,1,1
sphingosine biosynthetic process (GO:0046512),6,2,3.59,-,0.56,0.718,1,3,2.15,+,1.39,0.706,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
intracellular sterol transport (GO:0032366),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
centromere complex assembly (GO:0034508),9,3,5.38,-,0.56,0.553,1,1,3.23,-,0.31,0.472,1,3,5.1,-,0.59,0.555,1,0,0.09,-, < 0.01,1,1
production of lsiRNA involved in RNA interference (GO:0010599),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
leaf proximal/distal pattern formation (GO:0010589),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
icosanoid secretion (GO:0032309),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
peptidyl-lysine dimethylation (GO:0018027),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
peptidyl-lysine trimethylation (GO:0018023),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
tRNA N2-guanine methylation (GO:0002940),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
uronic acid metabolic process (GO:0006063),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
monopolar spindle attachment to meiosis I kinetochore (GO:0051455),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
negative regulation of meiotic cell cycle (GO:0051447),6,2,3.59,-,0.56,0.718,1,1,2.15,-,0.46,0.684,1,3,3.4,-,0.88,1,1,0,0.06,-, < 0.01,1,1
DNA recombinase assembly (GO:0000730),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
recombinational repair (GO:0000725),75,25,44.85,-,0.56,0.00951,1,11,26.9,-,0.41,0.00304,0.445,21,42.51,-,0.49,0.00282,0.519,0,0.75,-, < 0.01,1,1
arachidonate transport (GO:1903963),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
ammonium ion metabolic process (GO:0097164),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
FAD metabolic process (GO:0046443),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
D-amino acid metabolic process (GO:0046416),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
negative regulation of DNA biosynthetic process (GO:2000279),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
metal incorporation into metallo-molybdopterin complex (GO:0042040),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
"tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)",3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of rRNA processing (GO:2000232),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
regulation of telomere maintenance via telomerase (GO:0032210),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
regulation of telomere maintenance via telomere lengthening (GO:1904356),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
cellular response to reactive nitrogen species (GO:1902170),9,3,5.38,-,0.56,0.553,1,2,3.23,-,0.62,0.739,1,3,5.1,-,0.59,0.555,1,0,0.09,-, < 0.01,1,1
negative regulation of DNA replication (GO:0008156),12,4,7.18,-,0.56,0.44,1,3,4.3,-,0.7,0.772,1,2,6.8,-,0.29,0.101,1,0,0.12,-, < 0.01,1,1
cellular anion homeostasis (GO:0030002),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
positive regulation of transcription by RNA polymerase I (GO:0045943),3,1,1.79,-,0.56,1,1,2,1.08,+,1.86,0.613,1,0,1.7,-, < 0.01,0.558,1,0,0.03,-, < 0.01,1,1
cellular response to potassium ion starvation (GO:0051365),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
response to acidic pH (GO:0010447),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
choline metabolic process (GO:0019695),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
protoxylem development (GO:0090059),3,1,1.79,-,0.56,1,1,0,1.08,-, < 0.01,0.571,1,2,1.7,+,1.18,1,1,0,0.03,-, < 0.01,1,1
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316),3,1,1.79,-,0.56,1,1,1,1.08,-,0.93,1,1,1,1.7,-,0.59,1,1,0,0.03,-, < 0.01,1,1
