GO biological process complete,allexp_forGO.txt - REFLIST (12841),plastic_ref_forGO.txt (7679),plastic_ref_forGO.txt (expected),plastic_ref_forGO.txt (over/under),plastic_ref_forGO.txt (fold Enrichment),plastic_ref_forGO.txt (raw P-value),plastic_ref_forGO.txt (FDR),plastic32up.txt (4014),plastic32up.txt (expected),plastic32up.txt (over/under),plastic32up.txt (fold Enrichment),plastic32up.txt (raw P-value),plastic32up.txt (FDR),plastic8up.txt (2465),plastic8up.txt (expected),plastic8up.txt (over/under),plastic8up.txt (fold Enrichment),plastic8up.txt (raw P-value),plastic8up.txt (FDR),plastic32down.txt (3826),plastic32down.txt (expected),plastic32down.txt (over/under),plastic32down.txt (fold Enrichment),plastic32down.txt (raw P-value),plastic32down.txt (FDR)
negative regulation of exoribonuclease activity (GO:1901918),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of exoribonuclease activity (GO:1901917),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
glycolate transmembrane transport (GO:0097339),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
detection of lipopolysaccharide (GO:0032497),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to lipopolysaccharide (GO:0032496),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of organ growth (GO:0046622),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
amino acid import across plasma membrane (GO:0089718),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of Rab protein signal transduction (GO:0032483),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
tissue regeneration (GO:0042246),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of peroxidase activity (GO:2000470),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of cytokinesis (GO:0032467),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of cytokinesis (GO:0032465),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
regulation of intracellular mRNA localization (GO:1904580),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
regulation of extent of cell growth (GO:0061387),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of cell cycle arrest (GO:0071158),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
positive regulation of embryonic development (GO:0040019),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of cell cycle arrest (GO:0071156),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of multicellular organism growth (GO:0040014),3,0,1.79,-, < 0.01,0.297,1,1,0.94,+,1.07,1,1,1,0.58,+,1.74,0.505,1,1,0.89,+,1.12,1,1
meiotic recombination checkpoint (GO:0051598),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
histone H3-S28 phosphorylation (GO:0043988),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
histone H3-S10 phosphorylation (GO:0043987),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
histone H4-K16 acetylation (GO:0043984),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
histone H4-K12 acetylation (GO:0043983),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
histone H4-K8 acetylation (GO:0043982),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
nucleic acid-protein covalent cross-linking (GO:0018143),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
protein-DNA covalent cross-linking (GO:0018142),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
generative cell differentiation (GO:0022619),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of histone H3-K9 methylation (GO:0051573),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of histone H3-K4 methylation (GO:0051572),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of clathrin-dependent endocytosis (GO:1900186),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
guanine salvage (GO:0006178),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dATP biosynthetic process from ADP (GO:0006176),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dATP biosynthetic process (GO:0006175),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
heparan sulfate proteoglycan metabolic process (GO:0030201),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of mitochondrial calcium ion concentration (GO:0051562),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
sulfate transmembrane transport (GO:1902358),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
cellular response to strigolactone (GO:1902348),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
fructose export from vacuole to cytoplasm (GO:1902334),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
circadian regulation of calcium ion oscillation (GO:0010617),3,0,1.79,-, < 0.01,0.297,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of cytoplasmic mRNA processing body assembly (GO:0010606),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of 1-aminocyclopropane-1-carboxylate metabolic process (GO:0010602),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of auxin biosynthetic process (GO:0010601),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,2,0.58,+,3.47,0.185,1,0,0.89,-, < 0.01,1,1
negative regulation of histone H4 acetylation (GO:0090241),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of glycolytic process (GO:0006110),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of spindle checkpoint (GO:0090231),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of centromere complex assembly (GO:0090230),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of histone acetylation (GO:0035066),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,2,0.89,+,2.24,0.324,1
regulation of chromatin silencing at telomere (GO:0031938),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of chromatin silencing (GO:0031937),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
nonfunctional rRNA decay (GO:0070651),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
positive regulation of triglyceride metabolic process (GO:0090208),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
self proteolysis (GO:0097264),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,1,0.3,+,3.36,0.406,1
piRNA metabolic process (GO:0034587),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
mitochondrial mRNA polyadenylation (GO:0097222),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
acquisition of desiccation tolerance in seed (GO:0048700),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of reactive oxygen species metabolic process (GO:2000378),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,1,0.38,+,2.6,0.41,1,0,0.6,-, < 0.01,1,1
strand invasion (GO:0042148),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
intracellular cholesterol transport (GO:0032367),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of clathrin-dependent endocytosis (GO:2000369),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
meiotic DNA double-strand break formation (GO:0042138),6,0,3.59,-, < 0.01,0.0903,1,0,1.88,-, < 0.01,0.347,1,0,1.15,-, < 0.01,0.598,1,0,1.79,-, < 0.01,0.348,1
positive regulation of hormone metabolic process (GO:0032352),4,0,2.39,-, < 0.01,0.304,1,1,1.25,-,0.8,1,1,2,0.77,+,2.6,0.25,1,0,1.19,-, < 0.01,0.58,1
proteoglycan biosynthetic process (GO:0030166),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
molybdopterin cofactor biosynthetic process (GO:0032324),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cell cycle DNA replication maintenance of fidelity (GO:1902298),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of ceramide biosynthetic process (GO:2000303),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of cytosolic calcium ion concentration (GO:0051480),3,0,1.79,-, < 0.01,0.297,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
regulation of double-strand break repair via homologous recombination (GO:0010569),6,0,3.59,-, < 0.01,0.0903,1,1,1.88,-,0.53,1,1,0,1.15,-, < 0.01,0.598,1,1,1.79,-,0.56,1,1
vesicle-mediated transport between endosomal compartments (GO:0098927),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
abscisic acid homeostasis (GO:1902265),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of t-circle formation (GO:1904430),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
tRNA dihydrouridine synthesis (GO:0002943),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
maintenance of protein location in nucleus (GO:0051457),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of t-circle formation (GO:1904429),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to magnetism (GO:0071000),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of peroxisome organization (GO:1900064),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of peroxisome organization (GO:1900063),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
hexitol metabolic process (GO:0006059),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
mannoprotein biosynthetic process (GO:0006057),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of ceramide biosynthetic process (GO:1900060),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
mannoprotein metabolic process (GO:0006056),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of ubiquitin-protein transferase activity (GO:0051444),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of sulfate assimilation (GO:1900058),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of histone exchange (GO:1900051),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of histone exchange (GO:1900049),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
"DNA catabolic process, endonucleolytic (GO:0000737)",2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
removal of nonhomologous ends (GO:0000735),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
negative regulation of cellular response to hypoxia (GO:1900038),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
RNA secondary structure unwinding (GO:0010501),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,1,0.6,+,1.68,0.543,1
cellular sphingolipid homeostasis (GO:0090156),3,0,1.79,-, < 0.01,0.297,1,2,0.94,+,2.13,0.342,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
DNA double-strand break processing (GO:0000729),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
negative regulation of sphingolipid biosynthetic process (GO:0090155),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
regulation of pectin biosynthetic process (GO:1900030),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of sphingolipid biosynthetic process (GO:0090153),3,0,1.79,-, < 0.01,0.297,1,1,0.94,+,1.07,1,1,0,0.58,-, < 0.01,1,1,1,0.89,+,1.12,1,1
microtubule nucleation by microtubule organizing center (GO:0051418),5,0,2.99,-, < 0.01,0.165,1,0,1.56,-, < 0.01,0.599,1,0,0.96,-, < 0.01,1,1,0,1.49,-, < 0.01,0.596,1
microtubule nucleation by interphase microtubule organizing center (GO:0051415),5,0,2.99,-, < 0.01,0.165,1,0,1.56,-, < 0.01,0.599,1,0,0.96,-, < 0.01,1,1,0,1.49,-, < 0.01,0.596,1
pyrimidine dimer repair by nucleotide-excision repair (GO:0000720),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
membrane fission (GO:0090148),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
"nucleotide-excision repair, DNA duplex unwinding (GO:0000717)",1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of cell fate specification (GO:0009996),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,1,0.3,+,3.36,0.406,1
protection from non-homologous end joining at telomere (GO:0031848),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
glucose catabolic process (GO:0006007),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
meiotic DNA double-strand break processing (GO:0000706),3,0,1.79,-, < 0.01,0.297,1,0,0.94,-, < 0.01,1,1,0,0.58,-, < 0.01,1,1,0,0.89,-, < 0.01,1,1
cellular response to benomyl (GO:0072755),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cell fate commitment involved in formation of primary germ layer (GO:0060795),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
cytidine deamination (GO:0009972),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
anastral spindle assembly involved in male meiosis (GO:0009971),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
auxin mediated signaling pathway involved in phyllotactic patterning (GO:0060774),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to cisplatin (GO:0072718),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
histone H2A K63-linked deubiquitination (GO:0070537),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to hydroxyurea (GO:0072710),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of heterochromatin organization (GO:0120263),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
circadian regulation of translation (GO:0097167),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dynamin family protein polymerization involved in membrane fission (GO:0003373),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
dolichyl diphosphate metabolic process (GO:0046465),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
monoacylglycerol metabolic process (GO:0046462),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
RNA polymerase I preinitiation complex assembly (GO:0001188),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of ribonuclease activity (GO:0060701),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of ribonuclease activity (GO:0060700),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
early endosome to Golgi transport (GO:0034498),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
D-cysteine metabolic process (GO:0046438),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
D-amino acid biosynthetic process (GO:0046437),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
U6 snRNA 3'-end processing (GO:0034477),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
wound healing (GO:0042060),4,0,2.39,-, < 0.01,0.304,1,1,1.25,-,0.8,1,1,0,0.77,-, < 0.01,1,1,0,1.19,-, < 0.01,0.58,1
urate metabolic process (GO:0046415),2,0,1.2,-, < 0.01,0.532,1,1,0.63,+,1.6,0.558,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
negative regulation of cellular amino acid biosynthetic process (GO:2000283),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
GMP salvage (GO:0032263),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
protein-DNA complex remodeling (GO:0001120),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
sterol esterification (GO:0034434),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
steroid esterification (GO:0034433),2,0,1.2,-, < 0.01,0.532,1,0,0.63,-, < 0.01,1,1,0,0.38,-, < 0.01,1,1,0,0.6,-, < 0.01,1,1
transcription open complex formation at RNA polymerase II promoter (GO:0001113),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
DNA-templated transcription open complex formation (GO:0001112),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,1,0.19,+,5.21,0.296,1,0,0.3,-, < 0.01,1,1
positive regulation of nucleobase-containing compound transport (GO:0032241),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of nucleobase-containing compound transport (GO:0032239),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of rRNA processing (GO:2000234),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of telomere maintenance via telomerase (GO:0032212),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
negative regulation of proline metabolic process (GO:2000215),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
positive regulation of sclerenchyma cell differentiation (GO:1904369),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
regulation of sclerenchyma cell differentiation (GO:1904368),1,0,0.6,-, < 0.01,1,1,0,0.31,-, < 0.01,1,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
response to sulfur dioxide (GO:0010477),1,0,0.6,-, < 0.01,1,1,1,0.31,+,3.2,0.42,1,0,0.19,-, < 0.01,1,1,0,0.3,-, < 0.01,1,1
